"Facility/Site ID","Facility/Site Name","Program Facility Names","Address","City","State","Zip Code","EPA_Latitude","EPA_Longitude"
"21894","Twisp Landfill","Twisp Landfill","","TWISP","WA","",48.3559255235505,-120.084452154419
"34516979","PORT TOWNSEND PAPER","PORT TOWNSEND PAPER, PORT TOWNSEND PAPER CORPORATION, Port Townsend Paper Inert Waste Landfill","100 PAPER MILL HILL ROAD","PORT TOWNSEND","WA","98368-0039",48.0965,-122.80151
"79649975","Olympic View Sanitary Landfill Inc","Olympic View Landfill, OLYMPIC VIEW SANITARY LANDFILL","10015 SW BARNEY WHITE RD","PORT ORCHARD","WA","98367",47.50455,-122.77688
"15486","Wells Avenue Inert Waste Landfill","Wells Avenue Inert Waste Landfill","1110 WELLS AVE","EAST WENATCHEE","WA","98802",47.385582,-120.167829
"6667002","Avista Ash Landfill","Avista Ash Landfill","1151 HWY 395 N","COLVILLE","WA","99141",48.6199143683751,-118.109098584259
"2119258","Kathi Way Inert Waste Landfill","Kathi Way Inert Waste Landfill","1231 3RD ST","CLARKSTON","WA","99403",46.4065916843625,-117.042342369615
"8874901","Caton Inert & Demo Landfill","Caton Inert & Demo Landfill","1251 HUMPHREY ROAD","TIETON","WA","98947",46.6871632613704,-120.781928237222
"8763432","North Stevens County Landfill","North Stevens County Landfill","1257 LANDFILL RD","KETTLE FALLS","WA","99141",48.5827601651616,-118.077051378368
"2698","LAKE STEVENS LANDFILL","LAKE STEVENS LANDFILL","131ST AV NE & PURPLE PENNANT RD","LAKE STEVENS","WA","98258",47.99815,-122.05624
"4345993","Gibralter Landfill","Gibralter Landfill","13726 GILBRALTER RD","ANCORTES","WA","98221",48.4461251927568,-122.58234867837
"330226","M Street Site Merrill & Ring","M Street Site Merrill & Ring","13TH & M ST","PORT ANGELES","WA","98362",48.1226126200768,-123.480766452464
"590258","Rayonier Inc 13th & M Street Site","Rayonier Inc 13th & M Street Site","13TH & M ST","PORT ANGELES","WA","98362",48.1226126200768,-123.480766452464
