Facility/Site ID,Facility/Site Name,lat,lng
21894,Twisp Landfill,48.3634784,-120.122303
34516979,PORT TOWNSEND PAPER,48.0957147,-122.7972513
79649975,Olympic View Sanitary Landfill Inc,47.5046305,-122.7782025
15486,Wells Avenue Inert Waste Landfill,47.3855829,-120.167824
6667002,Avista Ash Landfill,43.3167946,-119.7265114
2119258,Kathi Way Inert Waste Landfill,46.4062612,-117.0420349
8874901,Caton Inert & Demo Landfill,46.6868225,-120.782705
8763432,North Stevens County Landfill,48.5820261,-118.0790324
2698,LAKE STEVENS LANDFILL,48.015098,-122.0637425
4345993,Gibralter Landfill,48.44509,-122.586311
330226,M Street Site Merrill & Ring,48.1232761,-123.4789184
590258,Rayonier Inc 13th & M Street Site,48.1232761,-123.4789184
2694,Snohomish Regional Landfill,47.8639714,-122.1098969
5540008,Petersen Woodwaste Landfill,47.3872727,-122.9251323
2578062,Busy Bee Landfill,47.681094,-117.614107
4859376,Romac Inert Waste Landfill,47.862425,-121.795045
2345743,D & N Enterprises,46.4109896,-117.0752916
6472026,MARINE VIEW SAND & GRAVEL,47.2629641,-122.3567011
2020,King Cnty Solid Wst Cedar Hills Landfill,47.3978256,-122.0377475
5474728,Ione Landfill,48.7394931,-117.3583738
46767518,GRAHAM ROAD RECYCLING & DISPOSAL FACILIT,47.636634,-117.674139
2710,LAKE GOODWIN LANDFILL,48.1647725,-122.3210539
7305,Pasco Sanitary Landfill,46.2615729,-119.0542683
368,Waste Management Greater Wenatchee Landf,47.403675,-120.165696
6512294,Baxter North Woodwaste Landfill,48.1730854,-122.1407701
5604433,Harrington Landfill,47.4809872,-118.2544187
7637,TOUTLE STP,46.324162,-122.729714
4236904,Stafford Creek Woodwaste Landfill,46.9288755,-123.9156631
3,CDC Mead LLC,47.755101,-117.379133
5672497,Delano Landfill,47.9314719,-119.013425
3181940,Mount Olivet Landfill,47.4871171,-122.1812076
81579269,Lakeside Industries Lacey Plant 70,47.0659058,-122.7659103
1279639,LAWSON LANDFILL,48.0802015,-123.3974725
23744232,Carothers Road Solid Waste Site,46.7642336,-117.2801775
7593,KITTITAS CO SW PROG RYEGRASS,46.964372,-120.208868
1192485,Pipkin Wenatchee Golf Developers,47.4167862,-120.2368477
4056866,East Isaacs Ave Inert Waste Landfill,46.0784289,-118.2917071
663224,AKA Airway Pit,47.632844,-117.598665
86559756,Lady Island Landfill,45.5843491,-122.4052124
60425,Smith Island Landfill,47.9818045,-122.193679
3484674,WM DICKSON CO WALLER RD PIT,47.3002126,-122.4083719
3199763,Olalla Drop Box,47.4324586,-122.6134437
42593689,Spokane Regional Waste To Energy Facilit,47.626804,-117.502921
572,ASOTIN COUNTY LANDFILL,46.3850722,-117.1134381
3114274,Garfield County Drop Box,46.5176328,-117.4839809
1155,NORTHWEST HARDWOODS INC FILL,46.73451,-122.991791
4441,PIERCE COUNTY RECYCLING 304TH LANDFILL,46.974656,-122.292485
9295532,Horn Rapids Landfill,46.3437832,-119.3471871
7619578,Jefferson Cnty Public Works Solid Waste,48.1036409,-122.8298039
9296236,San Juan County Orcas Island Lagoons,48.661814,-122.937557
46954465,Weyerhaeuser Regional Landfill,46.2498166,-122.8267499
6433299,Port Angeles Sanitary Landfill,48.1290353,-123.5079012
220,Tacoma Landfill,47.2313124,-122.5013651
8902668,TOLT TREATMENT FACILITY,47.7423218,-121.9856781
4483604,Ephrata Landfill,47.2921679,-119.587692
16,Intalco Aluminum Corp Ferndale,48.8484369,-122.715841
79747294,ANDERSON DEMOLITION SITE,46.626993,-120.67225
4446540,Sudbury Road Landfill,46.0709395,-118.4152012
1116,Harold LeMay Enterprises Inc Aberdeen,46.978513,-123.7497
866869,Simpson Matlock Woodwaste Landfill,47.2147867,-123.1037071
6705,Inland Asphalt Landfill,47.6133484,-117.2480087
13,BP CHERRY POINT REFINERY,48.8920434,-122.727734
249087,Dickson S 50th & Tyler,47.2116499,-122.4944397
98432991,Yakima Cnty Cheyne Landfill,46.4768168,-120.2690917
12862377,Regional Disposal Co Roosevelt Landfill,45.7720196,-120.1766948
1183,MASON COUNTY LANDFILL,47.2524244,-123.1877187
7434756,Bruce Transfer Station,46.8382665,-119.0050661
19228,Sauk Transfer Station,48.494036,-121.643623
8454524,Filion Inert Demo Site,47.525918,-120.464567
5451627,Torboy Transfer Station,48.6482183,-118.7378067
2797603,Hoquiam Landfill,46.9762289,-123.887058
25718555,EVERETT WATER FILTRATION PLANT,47.9307801,-121.8185985
1,ALCOA INC WENATCHEE WORKS,47.372069,-120.1972717
79876387,CEMEX EVERETT PIT,47.94148,-122.238719
59392286,OKANOGAN COUNTY CENTRAL LANDFILL,48.3451085,-119.629912
2709,Stella Jones Corporation,48.1664432,-122.1436143
20856,Atlas Sand & Gravel Chipman Landfill,46.7316057,-117.0882654
9491555,Terrace Heights Landfill,46.6063069,-120.4072064
198623,SKAGIT HILL RECYCLING INC,48.533398,-122.223275
6515535,Dukes Hill Resource Center,48.532469,-122.223131
1079,COWLITZ COUNTY LANDFILL,46.108305,-122.90217
7,Shell OPUS Puget Sound Refinery,48.4656504,-122.5599142
83953122,Central Pre Mix Crestline,47.734858,-117.376063
2627,NORSELAND SITE,47.524881,-122.705065
928,Central Pre Mix Recycling 8th & Carnahan,47.6499114,-117.3362953
1535811,Asphalt & Gravel Products Inc,46.2220264,-119.8961273
55942474,TRANSALTA CENTRALIA MINING LLC,46.7546018,-122.8400726
6975821,South County Transfer Station,48.158095,-117.1235219
1017,LEICHNER BROTHERS LANDFILL,45.690513,-122.573513
7540741,Hallstrom Landfill,45.6794746,-122.5745587
6458436,Douglas County Lux Pit,47.3853422,-120.2397086
2709567,Prosser Inert Demo Landfill,46.2052911,-119.7339611
2801430,Chester Landfill,47.6133621,-117.2491157
9712136,Sumach Street Landfill,46.0819562,-118.3152699
7747686,Adams County Regional Landfill & Recyc,46.7565354,-118.3105282
378,HORLICK LANDFILL,47.1181337,-120.7619822
1166613,RAYONIER MT PLEASANT LANDFILL,47.9506586,-123.3456072
2113965,CARNATION LANDFILL,47.629787,-121.901789
